"","Region","TIME_FY","Time","Value","dist_from_syd"
"113","Umina - Booker Bay - Patonga",2011,"2010-11",144,NA
"114","Umina - Booker Bay - Patonga",2012,"2011-12",85,NA
"115","Umina - Booker Bay - Patonga",2013,"2012-13",158,NA
"116","Umina - Booker Bay - Patonga",2014,"2013-14",123,NA
"117","Umina - Booker Bay - Patonga",2015,"2014-15",251,NA
"118","Wamberal - Forresters Beach",2007,"2006-07",0,NA
"119","Wamberal - Forresters Beach",2008,"2007-08",61,NA
"120","Wamberal - Forresters Beach",2009,"2008-09",91,NA
"121","Wamberal - Forresters Beach",2010,"2009-10",82,NA
"122","Wamberal - Forresters Beach",2011,"2010-11",120,NA
"123","Wamberal - Forresters Beach",2012,"2011-12",90,NA
"124","Wamberal - Forresters Beach",2013,"2012-13",92,NA
"125","Wamberal - Forresters Beach",2014,"2013-14",92,NA
"126","Wamberal - Forresters Beach",2015,"2014-15",108,NA
"127","Woy Woy - Blackwall",2007,"2006-07",88,NA
"128","Woy Woy - Blackwall",2008,"2007-08",96,NA
"129","Woy Woy - Blackwall",2009,"2008-09",98,NA
"130","Woy Woy - Blackwall",2010,"2009-10",64,NA
"131","Woy Woy - Blackwall",2011,"2010-11",19,NA
"132","Woy Woy - Blackwall",2012,"2011-12",230,NA
"133","Woy Woy - Blackwall",2013,"2012-13",30,NA
"134","Woy Woy - Blackwall",2014,"2013-14",63,NA
"135","Woy Woy - Blackwall",2015,"2014-15",84,NA
"136","Wyoming",2007,"2006-07",-63,NA
"137","Wyoming",2008,"2007-08",-74,NA
"138","Wyoming",2009,"2008-09",97,NA
"139","Wyoming",2010,"2009-10",60,NA
"140","Wyoming",2011,"2010-11",-26,NA
"141","Wyoming",2012,"2011-12",41,NA
"142","Wyoming",2013,"2012-13",55,NA
"143","Wyoming",2014,"2013-14",10,NA
"144","Wyoming",2015,"2014-15",50,NA
"145","Bateau Bay - Killarney Vale",2007,"2006-07",-40,NA
"146","Bateau Bay - Killarney Vale",2008,"2007-08",136,NA
"147","Bateau Bay - Killarney Vale",2009,"2008-09",179,NA
"148","Bateau Bay - Killarney Vale",2010,"2009-10",95,NA
"149","Bateau Bay - Killarney Vale",2011,"2010-11",104,NA
"150","Bateau Bay - Killarney Vale",2012,"2011-12",108,NA
"151","Bateau Bay - Killarney Vale",2013,"2012-13",239,NA
"152","Bateau Bay - Killarney Vale",2014,"2013-14",145,NA
"153","Bateau Bay - Killarney Vale",2015,"2014-15",62,NA
"154","Blue Haven - San Remo",2007,"2006-07",53,NA
"155","Blue Haven - San Remo",2008,"2007-08",89,NA
"156","Blue Haven - San Remo",2009,"2008-09",92,NA
"157","Blue Haven - San Remo",2010,"2009-10",95,NA
"158","Blue Haven - San Remo",2011,"2010-11",68,NA
"159","Blue Haven - San Remo",2012,"2011-12",64,NA
"160","Blue Haven - San Remo",2013,"2012-13",-45,NA
"161","Blue Haven - San Remo",2014,"2013-14",85,NA
"162","Blue Haven - San Remo",2015,"2014-15",52,NA
"163","Budgewoi - Buff Point - Halekulani",2007,"2006-07",-36,NA
"164","Budgewoi - Buff Point - Halekulani",2008,"2007-08",17,NA
"165","Budgewoi - Buff Point - Halekulani",2009,"2008-09",44,NA
"166","Budgewoi - Buff Point - Halekulani",2010,"2009-10",39,NA
"167","Budgewoi - Buff Point - Halekulani",2011,"2010-11",-1,NA
"168","Budgewoi - Buff Point - Halekulani",2012,"2011-12",21,NA
"169","Budgewoi - Buff Point - Halekulani",2013,"2012-13",-72,NA
"170","Budgewoi - Buff Point - Halekulani",2014,"2013-14",60,NA
"171","Budgewoi - Buff Point - Halekulani",2015,"2014-15",1,NA
"172","Chittaway Bay - Tumbi Umbi",2007,"2006-07",-24,NA
"173","Chittaway Bay - Tumbi Umbi",2008,"2007-08",44,NA
"174","Chittaway Bay - Tumbi Umbi",2009,"2008-09",121,NA
"175","Chittaway Bay - Tumbi Umbi",2010,"2009-10",78,NA
"176","Chittaway Bay - Tumbi Umbi",2011,"2010-11",78,NA
"177","Chittaway Bay - Tumbi Umbi",2012,"2011-12",-31,NA
"178","Chittaway Bay - Tumbi Umbi",2013,"2012-13",52,NA
"179","Chittaway Bay - Tumbi Umbi",2014,"2013-14",25,NA
"180","Chittaway Bay - Tumbi Umbi",2015,"2014-15",-35,NA
"181","Gorokan - Kanwal - Charmhaven",2007,"2006-07",-77,NA
"182","Gorokan - Kanwal - Charmhaven",2008,"2007-08",205,NA
"183","Gorokan - Kanwal - Charmhaven",2009,"2008-09",295,NA
"184","Gorokan - Kanwal - Charmhaven",2010,"2009-10",248,NA
"185","Gorokan - Kanwal - Charmhaven",2011,"2010-11",163,NA
"186","Gorokan - Kanwal - Charmhaven",2012,"2011-12",173,NA
"187","Gorokan - Kanwal - Charmhaven",2013,"2012-13",82,NA
"188","Gorokan - Kanwal - Charmhaven",2014,"2013-14",123,NA
"189","Gorokan - Kanwal - Charmhaven",2015,"2014-15",107,NA
"190","Jilliby - Yarramalong",2007,"2006-07",-61,NA
"191","Jilliby - Yarramalong",2008,"2007-08",-45,NA
"192","Jilliby - Yarramalong",2009,"2008-09",-40,NA
"193","Jilliby - Yarramalong",2010,"2009-10",-21,NA
"194","Jilliby - Yarramalong",2011,"2010-11",-39,NA
"195","Jilliby - Yarramalong",2012,"2011-12",-48,NA
"196","Jilliby - Yarramalong",2013,"2012-13",-23,NA
"197","Jilliby - Yarramalong",2014,"2013-14",-45,NA
"198","Jilliby - Yarramalong",2015,"2014-15",-69,NA
"199","Lake Munmorah - Mannering Park",2007,"2006-07",167,NA
"200","Lake Munmorah - Mannering Park",2008,"2007-08",65,NA
"201","Lake Munmorah - Mannering Park",2009,"2008-09",102,NA
"202","Lake Munmorah - Mannering Park",2010,"2009-10",148,NA
"203","Lake Munmorah - Mannering Park",2011,"2010-11",97,NA
"204","Lake Munmorah - Mannering Park",2012,"2011-12",91,NA
"205","Lake Munmorah - Mannering Park",2013,"2012-13",119,NA
"206","Lake Munmorah - Mannering Park",2014,"2013-14",116,NA
"207","Lake Munmorah - Mannering Park",2015,"2014-15",118,NA
"208","Ourimbah - Fountaindale",2007,"2006-07",-27,NA
"209","Ourimbah - Fountaindale",2008,"2007-08",19,NA
"210","Ourimbah - Fountaindale",2009,"2008-09",-62,NA
"211","Ourimbah - Fountaindale",2010,"2009-10",31,NA
"212","Ourimbah - Fountaindale",2011,"2010-11",-1,NA
"213","Ourimbah - Fountaindale",2012,"2011-12",4,NA
"214","Ourimbah - Fountaindale",2013,"2012-13",61,NA
"215","Ourimbah - Fountaindale",2014,"2013-14",-8,NA
"216","Ourimbah - Fountaindale",2015,"2014-15",12,NA
"217","Summerland Point - Gwandalan",2007,"2006-07",17,NA
"218","Summerland Point - Gwandalan",2008,"2007-08",8,NA
"219","Summerland Point - Gwandalan",2009,"2008-09",-17,NA
"220","Summerland Point - Gwandalan",2010,"2009-10",-10,NA
"221","Summerland Point - Gwandalan",2011,"2010-11",12,NA
"222","Summerland Point - Gwandalan",2012,"2011-12",-11,NA
"223","Summerland Point - Gwandalan",2013,"2012-13",-27,NA
"224","Summerland Point - Gwandalan",2014,"2013-14",-5,NA
"225","Summerland Point - Gwandalan",2015,"2014-15",44,NA
"226","The Entrance",2007,"2006-07",312,NA
"227","The Entrance",2008,"2007-08",338,NA
"228","The Entrance",2009,"2008-09",333,NA
"229","The Entrance",2010,"2009-10",312,NA
"230","The Entrance",2011,"2010-11",271,NA
"231","The Entrance",2012,"2011-12",120,NA
"232","The Entrance",2013,"2012-13",151,NA
"233","The Entrance",2014,"2013-14",122,NA
"234","The Entrance",2015,"2014-15",54,NA
"235","Toukley - Norah Head",2007,"2006-07",-84,NA
"236","Toukley - Norah Head",2008,"2007-08",-6,NA
"237","Toukley - Norah Head",2009,"2008-09",70,NA
"238","Toukley - Norah Head",2010,"2009-10",63,NA
"239","Toukley - Norah Head",2011,"2010-11",145,NA
"240","Toukley - Norah Head",2012,"2011-12",115,NA
"241","Toukley - Norah Head",2013,"2012-13",71,NA
"242","Toukley - Norah Head",2014,"2013-14",100,NA
"243","Toukley - Norah Head",2015,"2014-15",59,NA
"244","Tuggerah - Kangy Angy",2007,"2006-07",106,NA
"245","Tuggerah - Kangy Angy",2008,"2007-08",85,NA
"246","Tuggerah - Kangy Angy",2009,"2008-09",100,NA
"247","Tuggerah - Kangy Angy",2010,"2009-10",50,NA
"248","Tuggerah - Kangy Angy",2011,"2010-11",154,NA
"249","Tuggerah - Kangy Angy",2012,"2011-12",28,NA
"250","Tuggerah - Kangy Angy",2013,"2012-13",95,NA
"251","Tuggerah - Kangy Angy",2014,"2013-14",130,NA
"252","Tuggerah - Kangy Angy",2015,"2014-15",79,NA
"253","Warnervale - Wadalba",2007,"2006-07",523,NA
"254","Warnervale - Wadalba",2008,"2007-08",495,NA
"255","Warnervale - Wadalba",2009,"2008-09",536,NA
"256","Warnervale - Wadalba",2010,"2009-10",626,NA
"257","Warnervale - Wadalba",2011,"2010-11",597,NA
"258","Warnervale - Wadalba",2012,"2011-12",462,NA
"259","Warnervale - Wadalba",2013,"2012-13",542,NA
"260","Warnervale - Wadalba",2014,"2013-14",569,NA
"261","Warnervale - Wadalba",2015,"2014-15",594,NA
"262","Wyong",2007,"2006-07",-90,NA
"263","Wyong",2008,"2007-08",-79,NA
"264","Wyong",2009,"2008-09",-63,NA
"265","Wyong",2010,"2009-10",-45,NA
"266","Wyong",2011,"2010-11",-7,NA
"267","Wyong",2012,"2011-12",-106,NA
"268","Wyong",2013,"2012-13",-50,NA
"269","Wyong",2014,"2013-14",-70,NA
"270","Wyong",2015,"2014-15",-88,NA
"271","Baulkham Hills (East)",2007,"2006-07",-216,NA
"272","Baulkham Hills (East)",2008,"2007-08",-22,NA
"273","Baulkham Hills (East)",2009,"2008-09",-208,NA
"274","Baulkham Hills (East)",2010,"2009-10",-65,NA
"275","Baulkham Hills (East)",2011,"2010-11",-158,NA
"276","Baulkham Hills (East)",2012,"2011-12",-100,NA
"277","Baulkham Hills (East)",2013,"2012-13",-128,NA
"278","Baulkham Hills (East)",2014,"2013-14",-32,NA
"279","Baulkham Hills (East)",2015,"2014-15",0,NA
