"","Region","TIME_FY","Time","Value","dist_from_syd"
"1050","Bexley",2012,"2011-12",-278,NA
"1051","Bexley",2013,"2012-13",-329,NA
"1052","Bexley",2014,"2013-14",-529,NA
"1053","Bexley",2015,"2014-15",-376,NA
"1054","Kingsgrove (South) - Bardwell Park",2007,"2006-07",-93,NA
"1055","Kingsgrove (South) - Bardwell Park",2008,"2007-08",-41,NA
"1056","Kingsgrove (South) - Bardwell Park",2009,"2008-09",40,NA
"1057","Kingsgrove (South) - Bardwell Park",2010,"2009-10",24,NA
"1058","Kingsgrove (South) - Bardwell Park",2011,"2010-11",10,NA
"1059","Kingsgrove (South) - Bardwell Park",2012,"2011-12",-76,NA
"1060","Kingsgrove (South) - Bardwell Park",2013,"2012-13",-103,NA
"1061","Kingsgrove (South) - Bardwell Park",2014,"2013-14",-63,NA
"1062","Kingsgrove (South) - Bardwell Park",2015,"2014-15",-76,NA
"1063","Kogarah",2007,"2006-07",-129,NA
"1064","Kogarah",2008,"2007-08",-120,NA
"1065","Kogarah",2009,"2008-09",-134,NA
"1066","Kogarah",2010,"2009-10",-191,NA
"1067","Kogarah",2011,"2010-11",-167,NA
"1068","Kogarah",2012,"2011-12",-204,NA
"1069","Kogarah",2013,"2012-13",-242,NA
"1070","Kogarah",2014,"2013-14",-231,NA
"1071","Kogarah",2015,"2014-15",-91,NA
"1072","Kogarah Bay - Carlton - Allawah",2007,"2006-07",-165,NA
"1073","Kogarah Bay - Carlton - Allawah",2008,"2007-08",-84,NA
"1074","Kogarah Bay - Carlton - Allawah",2009,"2008-09",-288,NA
"1075","Kogarah Bay - Carlton - Allawah",2010,"2009-10",-185,NA
"1076","Kogarah Bay - Carlton - Allawah",2011,"2010-11",-320,NA
"1077","Kogarah Bay - Carlton - Allawah",2012,"2011-12",-243,NA
"1078","Kogarah Bay - Carlton - Allawah",2013,"2012-13",-255,NA
"1079","Kogarah Bay - Carlton - Allawah",2014,"2013-14",-416,NA
"1080","Kogarah Bay - Carlton - Allawah",2015,"2014-15",-444,NA
"1081","Monterey - Brighton-le-Sands - Kyeemagh",2007,"2006-07",-136,NA
"1082","Monterey - Brighton-le-Sands - Kyeemagh",2008,"2007-08",-147,NA
"1083","Monterey - Brighton-le-Sands - Kyeemagh",2009,"2008-09",-275,NA
"1084","Monterey - Brighton-le-Sands - Kyeemagh",2010,"2009-10",-272,NA
"1085","Monterey - Brighton-le-Sands - Kyeemagh",2011,"2010-11",-246,NA
"1086","Monterey - Brighton-le-Sands - Kyeemagh",2012,"2011-12",-276,NA
"1087","Monterey - Brighton-le-Sands - Kyeemagh",2013,"2012-13",-318,NA
"1088","Monterey - Brighton-le-Sands - Kyeemagh",2014,"2013-14",-307,NA
"1089","Monterey - Brighton-le-Sands - Kyeemagh",2015,"2014-15",-383,NA
"1090","Rockdale - Banksia",2007,"2006-07",-57,NA
"1091","Rockdale - Banksia",2008,"2007-08",-37,NA
"1092","Rockdale - Banksia",2009,"2008-09",-320,NA
"1093","Rockdale - Banksia",2010,"2009-10",-371,NA
"1094","Rockdale - Banksia",2011,"2010-11",-476,NA
"1095","Rockdale - Banksia",2012,"2011-12",-387,NA
"1096","Rockdale - Banksia",2013,"2012-13",-410,NA
"1097","Rockdale - Banksia",2014,"2013-14",-464,NA
"1098","Rockdale - Banksia",2015,"2014-15",-660,NA
"1099","Sans Souci - Ramsgate",2007,"2006-07",153,NA
"1100","Sans Souci - Ramsgate",2008,"2007-08",-92,NA
"1101","Sans Souci - Ramsgate",2009,"2008-09",94,NA
"1102","Sans Souci - Ramsgate",2010,"2009-10",70,NA
"1103","Sans Souci - Ramsgate",2011,"2010-11",-72,NA
"1104","Sans Souci - Ramsgate",2012,"2011-12",69,NA
"1105","Sans Souci - Ramsgate",2013,"2012-13",-119,NA
"1106","Sans Souci - Ramsgate",2014,"2013-14",-18,NA
"1107","Sans Souci - Ramsgate",2015,"2014-15",36,NA
"1108","Concord - Mortlake - Cabarita",2007,"2006-07",90,NA
"1109","Concord - Mortlake - Cabarita",2008,"2007-08",292,NA
"1110","Concord - Mortlake - Cabarita",2009,"2008-09",201,NA
"1111","Concord - Mortlake - Cabarita",2010,"2009-10",278,NA
"1112","Concord - Mortlake - Cabarita",2011,"2010-11",129,NA
"1113","Concord - Mortlake - Cabarita",2012,"2011-12",-56,NA
"1114","Concord - Mortlake - Cabarita",2013,"2012-13",-31,NA
"1115","Concord - Mortlake - Cabarita",2014,"2013-14",44,NA
"1116","Concord - Mortlake - Cabarita",2015,"2014-15",-148,NA
"1117","Concord West - North Strathfield",2007,"2006-07",190,NA
"1118","Concord West - North Strathfield",2008,"2007-08",281,NA
"1119","Concord West - North Strathfield",2009,"2008-09",514,NA
"1120","Concord West - North Strathfield",2010,"2009-10",612,NA
"1121","Concord West - North Strathfield",2011,"2010-11",536,NA
"1122","Concord West - North Strathfield",2012,"2011-12",348,NA
"1123","Concord West - North Strathfield",2013,"2012-13",447,NA
"1124","Concord West - North Strathfield",2014,"2013-14",442,NA
"1125","Concord West - North Strathfield",2015,"2014-15",-152,NA
"1126","Drummoyne - Rodd Point",2007,"2006-07",-32,NA
"1127","Drummoyne - Rodd Point",2008,"2007-08",-177,NA
"1128","Drummoyne - Rodd Point",2009,"2008-09",99,NA
"1129","Drummoyne - Rodd Point",2010,"2009-10",-66,NA
"1130","Drummoyne - Rodd Point",2011,"2010-11",-155,NA
"1131","Drummoyne - Rodd Point",2012,"2011-12",-36,NA
"1132","Drummoyne - Rodd Point",2013,"2012-13",-79,NA
"1133","Drummoyne - Rodd Point",2014,"2013-14",-210,NA
"1134","Drummoyne - Rodd Point",2015,"2014-15",-46,NA
"1135","Five Dock - Abbotsford",2007,"2006-07",71,NA
"1136","Five Dock - Abbotsford",2008,"2007-08",13,NA
"1137","Five Dock - Abbotsford",2009,"2008-09",129,NA
"1138","Five Dock - Abbotsford",2010,"2009-10",-12,NA
"1139","Five Dock - Abbotsford",2011,"2010-11",172,NA
"1140","Five Dock - Abbotsford",2012,"2011-12",83,NA
"1141","Five Dock - Abbotsford",2013,"2012-13",70,NA
"1142","Five Dock - Abbotsford",2014,"2013-14",-27,NA
"1143","Five Dock - Abbotsford",2015,"2014-15",16,NA
"1144","Balmain",2007,"2006-07",-8,NA
"1145","Balmain",2008,"2007-08",-98,NA
"1146","Balmain",2009,"2008-09",-122,NA
"1147","Balmain",2010,"2009-10",-77,NA
"1148","Balmain",2011,"2010-11",-91,NA
"1149","Balmain",2012,"2011-12",-125,NA
"1150","Balmain",2013,"2012-13",-174,NA
"1151","Balmain",2014,"2013-14",-103,NA
"1152","Balmain",2015,"2014-15",-137,NA
"1153","Leichhardt - Annandale",2007,"2006-07",-142,NA
"1154","Leichhardt - Annandale",2008,"2007-08",-101,NA
"1155","Leichhardt - Annandale",2009,"2008-09",26,NA
"1156","Leichhardt - Annandale",2010,"2009-10",-108,NA
"1157","Leichhardt - Annandale",2011,"2010-11",-102,NA
"1158","Leichhardt - Annandale",2012,"2011-12",-76,NA
"1159","Leichhardt - Annandale",2013,"2012-13",-159,NA
"1160","Leichhardt - Annandale",2014,"2013-14",-11,NA
"1161","Leichhardt - Annandale",2015,"2014-15",-91,NA
"1162","Lilyfield - Rozelle",2007,"2006-07",-44,NA
"1163","Lilyfield - Rozelle",2008,"2007-08",-108,NA
"1164","Lilyfield - Rozelle",2009,"2008-09",-135,NA
"1165","Lilyfield - Rozelle",2010,"2009-10",-95,NA
"1166","Lilyfield - Rozelle",2011,"2010-11",-98,NA
"1167","Lilyfield - Rozelle",2012,"2011-12",-135,NA
"1168","Lilyfield - Rozelle",2013,"2012-13",-98,NA
"1169","Lilyfield - Rozelle",2014,"2013-14",-91,NA
"1170","Lilyfield - Rozelle",2015,"2014-15",-70,NA
"1171","Ashfield",2007,"2006-07",-438,NA
"1172","Ashfield",2008,"2007-08",-760,NA
"1173","Ashfield",2009,"2008-09",-677,NA
"1174","Ashfield",2010,"2009-10",-622,NA
"1175","Ashfield",2011,"2010-11",-561,NA
"1176","Ashfield",2012,"2011-12",-645,NA
"1177","Ashfield",2013,"2012-13",-549,NA
"1178","Ashfield",2014,"2013-14",-797,NA
"1179","Ashfield",2015,"2014-15",-677,NA
"1180","Burwood - Croydon",2007,"2006-07",-225,NA
"1181","Burwood - Croydon",2008,"2007-08",-508,NA
"1182","Burwood - Croydon",2009,"2008-09",-730,NA
"1183","Burwood - Croydon",2010,"2009-10",-702,NA
"1184","Burwood - Croydon",2011,"2010-11",-324,NA
"1185","Burwood - Croydon",2012,"2011-12",-295,NA
"1186","Burwood - Croydon",2013,"2012-13",-343,NA
"1187","Burwood - Croydon",2014,"2013-14",-208,NA
"1188","Burwood - Croydon",2015,"2014-15",-645,NA
"1189","Canterbury (North) - Ashbury",2007,"2006-07",-61,NA
"1190","Canterbury (North) - Ashbury",2008,"2007-08",-110,NA
"1191","Canterbury (North) - Ashbury",2009,"2008-09",-122,NA
"1192","Canterbury (North) - Ashbury",2010,"2009-10",-133,NA
"1193","Canterbury (North) - Ashbury",2011,"2010-11",-111,NA
"1194","Canterbury (North) - Ashbury",2012,"2011-12",-125,NA
"1195","Canterbury (North) - Ashbury",2013,"2012-13",-94,NA
"1196","Canterbury (North) - Ashbury",2014,"2013-14",-67,NA
"1197","Canterbury (North) - Ashbury",2015,"2014-15",-21,NA
"1198","Croydon Park - Enfield",2007,"2006-07",-94,NA
"1199","Croydon Park - Enfield",2008,"2007-08",-116,NA
"1200","Croydon Park - Enfield",2009,"2008-09",-16,NA
"1201","Croydon Park - Enfield",2010,"2009-10",-236,NA
"1202","Croydon Park - Enfield",2011,"2010-11",0,NA
"1203","Croydon Park - Enfield",2012,"2011-12",-193,NA
"1204","Croydon Park - Enfield",2013,"2012-13",-72,NA
"1205","Croydon Park - Enfield",2014,"2013-14",-264,NA
"1206","Croydon Park - Enfield",2015,"2014-15",-275,NA
"1207","Dulwich Hill - Lewisham",2007,"2006-07",-323,NA
"1208","Dulwich Hill - Lewisham",2008,"2007-08",-208,NA
"1209","Dulwich Hill - Lewisham",2009,"2008-09",-88,NA
"1210","Dulwich Hill - Lewisham",2010,"2009-10",-159,NA
"1211","Dulwich Hill - Lewisham",2011,"2010-11",-176,NA
"1212","Dulwich Hill - Lewisham",2012,"2011-12",-390,NA
"1213","Dulwich Hill - Lewisham",2013,"2012-13",-195,NA
"1214","Dulwich Hill - Lewisham",2014,"2013-14",-245,NA
"1215","Dulwich Hill - Lewisham",2015,"2014-15",-186,NA
"1216","Haberfield - Summer Hill",2007,"2006-07",-13,NA
"1217","Haberfield - Summer Hill",2008,"2007-08",-78,NA
"1218","Haberfield - Summer Hill",2009,"2008-09",-124,NA
"1219","Haberfield - Summer Hill",2010,"2009-10",-78,NA
"1220","Haberfield - Summer Hill",2011,"2010-11",-144,NA
"1221","Haberfield - Summer Hill",2012,"2011-12",-162,NA
"1222","Haberfield - Summer Hill",2013,"2012-13",-142,NA
"1223","Haberfield - Summer Hill",2014,"2013-14",-158,NA
"1224","Haberfield - Summer Hill",2015,"2014-15",-201,NA
"1225","Homebush",2007,"2006-07",65,NA
"1226","Homebush",2008,"2007-08",43,NA
"1227","Homebush",2009,"2008-09",-58,NA
"1228","Homebush",2010,"2009-10",-237,NA
"1229","Homebush",2011,"2010-11",-191,NA
"1230","Homebush",2012,"2011-12",-458,NA
"1231","Homebush",2013,"2012-13",-329,NA
"1232","Homebush",2014,"2013-14",-294,NA
"1233","Homebush",2015,"2014-15",-485,NA
"1234","Strathfield",2007,"2006-07",-355,NA
"1235","Strathfield",2008,"2007-08",-472,NA
"1236","Strathfield",2009,"2008-09",-250,NA
"1237","Strathfield",2010,"2009-10",-365,NA
"1238","Strathfield",2011,"2010-11",-421,NA
"1239","Strathfield",2012,"2011-12",-418,NA
"1240","Strathfield",2013,"2012-13",-502,NA
"1241","Strathfield",2014,"2013-14",-614,NA
"1242","Strathfield",2015,"2014-15",-626,NA
"1243","Chatswood (East) - Artarmon",2007,"2006-07",-426,NA
"1244","Chatswood (East) - Artarmon",2008,"2007-08",-410,NA
"1245","Chatswood (East) - Artarmon",2009,"2008-09",-393,NA
"1246","Chatswood (East) - Artarmon",2010,"2009-10",-347,NA
"1247","Chatswood (East) - Artarmon",2011,"2010-11",-529,NA
"1248","Chatswood (East) - Artarmon",2012,"2011-12",-341,NA
"1249","Chatswood (East) - Artarmon",2013,"2012-13",-526,NA
"1250","Chatswood (East) - Artarmon",2014,"2013-14",-329,NA
"1251","Chatswood (East) - Artarmon",2015,"2014-15",-162,NA
"1252","Chatswood (West) - Lane Cove North",2007,"2006-07",-263,NA
"1253","Chatswood (West) - Lane Cove North",2008,"2007-08",-181,NA
"1254","Chatswood (West) - Lane Cove North",2009,"2008-09",-182,NA
"1255","Chatswood (West) - Lane Cove North",2010,"2009-10",-73,NA
"1256","Chatswood (West) - Lane Cove North",2011,"2010-11",-160,NA
"1257","Chatswood (West) - Lane Cove North",2012,"2011-12",-306,NA
"1258","Chatswood (West) - Lane Cove North",2013,"2012-13",-352,NA
"1259","Chatswood (West) - Lane Cove North",2014,"2013-14",-33,NA
"1260","Chatswood (West) - Lane Cove North",2015,"2014-15",-74,NA
"1261","Lane Cove - Greenwich",2007,"2006-07",-190,NA
"1262","Lane Cove - Greenwich",2008,"2007-08",-158,NA
"1263","Lane Cove - Greenwich",2009,"2008-09",-79,NA
"1264","Lane Cove - Greenwich",2010,"2009-10",-23,NA
"1265","Lane Cove - Greenwich",2011,"2010-11",-71,NA
"1266","Lane Cove - Greenwich",2012,"2011-12",-282,NA
"1267","Lane Cove - Greenwich",2013,"2012-13",-239,NA
"1268","Lane Cove - Greenwich",2014,"2013-14",76,NA
"1269","Lane Cove - Greenwich",2015,"2014-15",25,NA
"1270","St Leonards - Naremburn",2007,"2006-07",-89,NA
"1271","St Leonards - Naremburn",2008,"2007-08",-117,NA
"1272","St Leonards - Naremburn",2009,"2008-09",-39,NA
"1273","St Leonards - Naremburn",2010,"2009-10",-156,NA
"1274","St Leonards - Naremburn",2011,"2010-11",-98,NA
"1275","St Leonards - Naremburn",2012,"2011-12",-132,NA
"1276","St Leonards - Naremburn",2013,"2012-13",-133,NA
"1277","St Leonards - Naremburn",2014,"2013-14",48,NA
"1278","St Leonards - Naremburn",2015,"2014-15",17,NA
"1279","Willoughby - Castle Cove - Northbridge",2007,"2006-07",148,NA
"1280","Willoughby - Castle Cove - Northbridge",2008,"2007-08",-102,NA
"1281","Willoughby - Castle Cove - Northbridge",2009,"2008-09",10,NA
"1282","Willoughby - Castle Cove - Northbridge",2010,"2009-10",-126,NA
"1283","Willoughby - Castle Cove - Northbridge",2011,"2010-11",-48,NA
"1284","Willoughby - Castle Cove - Northbridge",2012,"2011-12",-24,NA
"1285","Willoughby - Castle Cove - Northbridge",2013,"2012-13",109,NA
"1286","Willoughby - Castle Cove - Northbridge",2014,"2013-14",-106,NA
"1287","Willoughby - Castle Cove - Northbridge",2015,"2014-15",36,NA
"1288","Asquith - Mount Colah",2007,"2006-07",-96,NA
"1289","Asquith - Mount Colah",2008,"2007-08",-75,NA
"1290","Asquith - Mount Colah",2009,"2008-09",-154,NA
"1291","Asquith - Mount Colah",2010,"2009-10",-73,NA
"1292","Asquith - Mount Colah",2011,"2010-11",-150,NA
"1293","Asquith - Mount Colah",2012,"2011-12",-211,NA
"1294","Asquith - Mount Colah",2013,"2012-13",-159,NA
"1295","Asquith - Mount Colah",2014,"2013-14",-25,NA
"1296","Asquith - Mount Colah",2015,"2014-15",-226,NA
"1297","Berowra - Brooklyn - Cowan",2007,"2006-07",-141,NA
"1298","Berowra - Brooklyn - Cowan",2008,"2007-08",-82,NA
"1299","Berowra - Brooklyn - Cowan",2009,"2008-09",-84,NA
"1300","Berowra - Brooklyn - Cowan",2010,"2009-10",45,NA
"1301","Berowra - Brooklyn - Cowan",2011,"2010-11",-104,NA
"1302","Berowra - Brooklyn - Cowan",2012,"2011-12",-45,NA
"1303","Berowra - Brooklyn - Cowan",2013,"2012-13",122,NA
"1304","Berowra - Brooklyn - Cowan",2014,"2013-14",51,NA
"1305","Berowra - Brooklyn - Cowan",2015,"2014-15",-49,NA
"1306","Hornsby - Waitara",2007,"2006-07",-159,NA
"1307","Hornsby - Waitara",2008,"2007-08",-134,NA
"1308","Hornsby - Waitara",2009,"2008-09",-319,NA
"1309","Hornsby - Waitara",2010,"2009-10",-302,NA
"1310","Hornsby - Waitara",2011,"2010-11",-441,NA
"1311","Hornsby - Waitara",2012,"2011-12",-486,NA
"1312","Hornsby - Waitara",2013,"2012-13",-376,NA
"1313","Hornsby - Waitara",2014,"2013-14",-581,NA
"1314","Hornsby - Waitara",2015,"2014-15",-556,NA
"1315","Normanhurst - Thornleigh - Westleigh",2007,"2006-07",-168,NA
"1316","Normanhurst - Thornleigh - Westleigh",2008,"2007-08",-74,NA
"1317","Normanhurst - Thornleigh - Westleigh",2009,"2008-09",13,NA
"1318","Normanhurst - Thornleigh - Westleigh",2010,"2009-10",-61,NA
"1319","Normanhurst - Thornleigh - Westleigh",2011,"2010-11",12,NA
"1320","Normanhurst - Thornleigh - Westleigh",2012,"2011-12",-48,NA
"1321","Normanhurst - Thornleigh - Westleigh",2013,"2012-13",-127,NA
"1322","Normanhurst - Thornleigh - Westleigh",2014,"2013-14",80,NA
"1323","Normanhurst - Thornleigh - Westleigh",2015,"2014-15",26,NA
"1324","Gordon - Killara",2007,"2006-07",-114,NA
"1325","Gordon - Killara",2008,"2007-08",-62,NA
"1326","Gordon - Killara",2009,"2008-09",54,NA
"1327","Gordon - Killara",2010,"2009-10",286,NA
"1328","Gordon - Killara",2011,"2010-11",380,NA
"1329","Gordon - Killara",2012,"2011-12",328,NA
"1330","Gordon - Killara",2013,"2012-13",266,NA
"1331","Gordon - Killara",2014,"2013-14",227,NA
"1332","Gordon - Killara",2015,"2014-15",-122,NA
"1333","Lindfield - Roseville",2007,"2006-07",-2,NA
"1334","Lindfield - Roseville",2008,"2007-08",6,NA
"1335","Lindfield - Roseville",2009,"2008-09",117,NA
"1336","Lindfield - Roseville",2010,"2009-10",89,NA
"1337","Lindfield - Roseville",2011,"2010-11",12,NA
"1338","Lindfield - Roseville",2012,"2011-12",-24,NA
"1339","Lindfield - Roseville",2013,"2012-13",82,NA
"1340","Lindfield - Roseville",2014,"2013-14",-98,NA
"1341","Lindfield - Roseville",2015,"2014-15",169,NA
"1342","Pymble",2007,"2006-07",-148,NA
"1343","Pymble",2008,"2007-08",132,NA
"1344","Pymble",2009,"2008-09",23,NA
"1345","Pymble",2010,"2009-10",-107,NA
"1346","Pymble",2011,"2010-11",115,NA
"1347","Pymble",2012,"2011-12",1,NA
"1348","Pymble",2013,"2012-13",175,NA
"1349","Pymble",2014,"2013-14",-160,NA
"1350","Pymble",2015,"2014-15",-213,NA
"1351","St Ives",2007,"2006-07",6,NA
"1352","St Ives",2008,"2007-08",20,NA
"1353","St Ives",2009,"2008-09",165,NA
"1354","St Ives",2010,"2009-10",310,NA
"1355","St Ives",2011,"2010-11",69,NA
"1356","St Ives",2012,"2011-12",86,NA
"1357","St Ives",2013,"2012-13",103,NA
"1358","St Ives",2014,"2013-14",154,NA
"1359","St Ives",2015,"2014-15",208,NA
"1360","Turramurra",2007,"2006-07",37,NA
"1361","Turramurra",2008,"2007-08",97,NA
"1362","Turramurra",2009,"2008-09",86,NA
"1363","Turramurra",2010,"2009-10",262,NA
"1364","Turramurra",2011,"2010-11",73,NA
"1365","Turramurra",2012,"2011-12",143,NA
"1366","Turramurra",2013,"2012-13",218,NA
"1367","Turramurra",2014,"2013-14",147,NA
"1368","Turramurra",2015,"2014-15",-17,NA
"1369","Wahroonga - Warrawee",2007,"2006-07",15,NA
"1370","Wahroonga - Warrawee",2008,"2007-08",104,NA
"1371","Wahroonga - Warrawee",2009,"2008-09",232,NA
"1372","Wahroonga - Warrawee",2010,"2009-10",159,NA
"1373","Wahroonga - Warrawee",2011,"2010-11",200,NA
"1374","Wahroonga - Warrawee",2012,"2011-12",153,NA
"1375","Wahroonga - Warrawee",2013,"2012-13",-13,NA
"1376","Wahroonga - Warrawee",2014,"2013-14",65,NA
"1377","Wahroonga - Warrawee",2015,"2014-15",103,NA
"1378","Cremorne - Cammeray",2007,"2006-07",-172,NA
"1379","Cremorne - Cammeray",2008,"2007-08",-82,NA
"1380","Cremorne - Cammeray",2009,"2008-09",-45,NA
"1381","Cremorne - Cammeray",2010,"2009-10",-52,NA
"1382","Cremorne - Cammeray",2011,"2010-11",-268,NA
"1383","Cremorne - Cammeray",2012,"2011-12",-146,NA
"1384","Cremorne - Cammeray",2013,"2012-13",-113,NA
"1385","Cremorne - Cammeray",2014,"2013-14",0,NA
"1386","Cremorne - Cammeray",2015,"2014-15",-302,NA
"1387","Crows Nest - Waverton",2007,"2006-07",-134,NA
"1388","Crows Nest - Waverton",2008,"2007-08",-11,NA
"1389","Crows Nest - Waverton",2009,"2008-09",-111,NA
"1390","Crows Nest - Waverton",2010,"2009-10",-220,NA
"1391","Crows Nest - Waverton",2011,"2010-11",-230,NA
"1392","Crows Nest - Waverton",2012,"2011-12",-179,NA
"1393","Crows Nest - Waverton",2013,"2012-13",-241,NA
"1394","Crows Nest - Waverton",2014,"2013-14",-2,NA
"1395","Crows Nest - Waverton",2015,"2014-15",45,NA
"1396","Mosman",2007,"2006-07",-144,NA
"1397","Mosman",2008,"2007-08",-221,NA
"1398","Mosman",2009,"2008-09",-174,NA
"1399","Mosman",2010,"2009-10",1,NA
"1400","Mosman",2011,"2010-11",-247,NA
"1401","Mosman",2012,"2011-12",-245,NA
"1402","Mosman",2013,"2012-13",-68,NA
"1403","Mosman",2014,"2013-14",-176,NA
"1404","Mosman",2015,"2014-15",-196,NA
"1405","Neutral Bay - Kirribilli",2007,"2006-07",-102,NA
"1406","Neutral Bay - Kirribilli",2008,"2007-08",-107,NA
"1407","Neutral Bay - Kirribilli",2009,"2008-09",-215,NA
"1408","Neutral Bay - Kirribilli",2010,"2009-10",10,NA
"1409","Neutral Bay - Kirribilli",2011,"2010-11",-239,NA
"1410","Neutral Bay - Kirribilli",2012,"2011-12",-144,NA
"1411","Neutral Bay - Kirribilli",2013,"2012-13",-70,NA
"1412","Neutral Bay - Kirribilli",2014,"2013-14",-221,NA
"1413","Neutral Bay - Kirribilli",2015,"2014-15",126,NA
"1414","North Sydney - Lavender Bay",2007,"2006-07",-175,NA
"1415","North Sydney - Lavender Bay",2008,"2007-08",-138,NA
"1416","North Sydney - Lavender Bay",2009,"2008-09",-108,NA
"1417","North Sydney - Lavender Bay",2010,"2009-10",-129,NA
"1418","North Sydney - Lavender Bay",2011,"2010-11",-96,NA
"1419","North Sydney - Lavender Bay",2012,"2011-12",-256,NA
"1420","North Sydney - Lavender Bay",2013,"2012-13",-225,NA
"1421","North Sydney - Lavender Bay",2014,"2013-14",-74,NA
"1422","North Sydney - Lavender Bay",2015,"2014-15",87,NA
"1423","Balgowlah - Clontarf - Seaforth",2007,"2006-07",-8,NA
"1424","Balgowlah - Clontarf - Seaforth",2008,"2007-08",-222,NA
"1425","Balgowlah - Clontarf - Seaforth",2009,"2008-09",144,NA
"1426","Balgowlah - Clontarf - Seaforth",2010,"2009-10",-153,NA
"1427","Balgowlah - Clontarf - Seaforth",2011,"2010-11",139,NA
"1428","Balgowlah - Clontarf - Seaforth",2012,"2011-12",60,NA
"1429","Balgowlah - Clontarf - Seaforth",2013,"2012-13",-133,NA
"1430","Balgowlah - Clontarf - Seaforth",2014,"2013-14",75,NA
"1431","Balgowlah - Clontarf - Seaforth",2015,"2014-15",-102,NA
"1432","Manly - Fairlight",2007,"2006-07",-375,NA
"1433","Manly - Fairlight",2008,"2007-08",-395,NA
"1434","Manly - Fairlight",2009,"2008-09",-321,NA
"1435","Manly - Fairlight",2010,"2009-10",-143,NA
"1436","Manly - Fairlight",2011,"2010-11",-296,NA
"1437","Manly - Fairlight",2012,"2011-12",-371,NA
"1438","Manly - Fairlight",2013,"2012-13",-310,NA
"1439","Manly - Fairlight",2014,"2013-14",-417,NA
"1440","Manly - Fairlight",2015,"2014-15",-371,NA
"1441","Avalon - Palm Beach",2007,"2006-07",-277,NA
"1442","Avalon - Palm Beach",2008,"2007-08",-200,NA
"1443","Avalon - Palm Beach",2009,"2008-09",12,NA
"1444","Avalon - Palm Beach",2010,"2009-10",19,NA
"1445","Avalon - Palm Beach",2011,"2010-11",-66,NA
"1446","Avalon - Palm Beach",2012,"2011-12",11,NA
"1447","Avalon - Palm Beach",2013,"2012-13",13,NA
"1448","Avalon - Palm Beach",2014,"2013-14",159,NA
"1449","Avalon - Palm Beach",2015,"2014-15",23,NA
"1450","Bayview - Elanora Heights",2007,"2006-07",-161,NA
"1451","Bayview - Elanora Heights",2008,"2007-08",106,NA
"1452","Bayview - Elanora Heights",2009,"2008-09",47,NA
"1453","Bayview - Elanora Heights",2010,"2009-10",119,NA
"1454","Bayview - Elanora Heights",2011,"2010-11",66,NA
"1455","Bayview - Elanora Heights",2012,"2011-12",120,NA
"1456","Bayview - Elanora Heights",2013,"2012-13",84,NA
"1457","Bayview - Elanora Heights",2014,"2013-14",156,NA
"1458","Bayview - Elanora Heights",2015,"2014-15",224,NA
"1459","Newport - Bilgola",2007,"2006-07",-4,NA
"1460","Newport - Bilgola",2008,"2007-08",-16,NA
"1461","Newport - Bilgola",2009,"2008-09",91,NA
"1462","Newport - Bilgola",2010,"2009-10",14,NA
"1463","Newport - Bilgola",2011,"2010-11",65,NA
"1464","Newport - Bilgola",2012,"2011-12",68,NA
"1465","Newport - Bilgola",2013,"2012-13",59,NA
"1466","Newport - Bilgola",2014,"2013-14",148,NA
"1467","Newport - Bilgola",2015,"2014-15",71,NA
"1468","Warriewood - Mona Vale",2007,"2006-07",199,NA
"1469","Warriewood - Mona Vale",2008,"2007-08",192,NA
"1470","Warriewood - Mona Vale",2009,"2008-09",269,NA
"1471","Warriewood - Mona Vale",2010,"2009-10",291,NA
"1472","Warriewood - Mona Vale",2011,"2010-11",282,NA
"1473","Warriewood - Mona Vale",2012,"2011-12",168,NA
"1474","Warriewood - Mona Vale",2013,"2012-13",428,NA
"1475","Warriewood - Mona Vale",2014,"2013-14",436,NA
"1476","Warriewood - Mona Vale",2015,"2014-15",429,NA
"1477","Beacon Hill - Narraweena",2007,"2006-07",5,NA
"1478","Beacon Hill - Narraweena",2008,"2007-08",-23,NA
"1479","Beacon Hill - Narraweena",2009,"2008-09",10,NA
"1480","Beacon Hill - Narraweena",2010,"2009-10",-35,NA
"1481","Beacon Hill - Narraweena",2011,"2010-11",36,NA
"1482","Beacon Hill - Narraweena",2012,"2011-12",25,NA
"1483","Beacon Hill - Narraweena",2013,"2012-13",-9,NA
"1484","Beacon Hill - Narraweena",2014,"2013-14",-69,NA
"1485","Beacon Hill - Narraweena",2015,"2014-15",-11,NA
"1486","Cromer",2007,"2006-07",16,NA
"1487","Cromer",2008,"2007-08",-38,NA
"1488","Cromer",2009,"2008-09",30,NA
"1489","Cromer",2010,"2009-10",-57,NA
"1490","Cromer",2011,"2010-11",20,NA
"1491","Cromer",2012,"2011-12",-36,NA
"1492","Cromer",2013,"2012-13",-45,NA
"1493","Cromer",2014,"2013-14",34,NA
"1494","Cromer",2015,"2014-15",-28,NA
"1495","Dee Why - North Curl Curl",2007,"2006-07",-82,NA
"1496","Dee Why - North Curl Curl",2008,"2007-08",-197,NA
"1497","Dee Why - North Curl Curl",2009,"2008-09",-191,NA
"1498","Dee Why - North Curl Curl",2010,"2009-10",-217,NA
"1499","Dee Why - North Curl Curl",2011,"2010-11",-36,NA
"1500","Dee Why - North Curl Curl",2012,"2011-12",-151,NA
"1501","Dee Why - North Curl Curl",2013,"2012-13",-154,NA
